context1,number1,question1,context2,number2,question2,context3,number3,question3,context4,number4,question4,context5,number5,question5,context6,number6,question6,context7,number7,question7,context8,number8,question8,context9,number9,question9,context10,number10,question10
"the biodiversity of plant species is the highest on earth with one 2001 study finding a quarter square kilometer (62 acres) of ecuadorian rainforest supports more than 1,100 tree species.",182,how many tree species are in the rainforest?,"when two forces act on a point particle, the resulting force, the resultant (also called the net force), can be determined by following the parallelogram rule of vector addition: the addition of two vectors represented by sides of a parallelogram, gives an equivalent resultant vector that is equal in magnitude and direction to the transversal of the parallelogram.",100,what is another name for the net rule?,"following a break for late local programming, cbs also aired a special episode of the late late show with james corden.",169,what followed the late local programming after super bowl 50?,"this decreed that it would be occupied by the allies, until 1935 and after that, it would be a demilitarised zone, with the german army forbidden to enter.",115,"after 1935, who would be forbidden to enter rhineland?","rodin is represented by more than 20 works in the museum collection, making it one of the largest collections of the sculptor's work outside france; these were given to the museum by the sculptor in 1914, as acknowledgement of britain 's support of france in world war i, although the statue of st john the baptist had been purchased in 1902 by public subscription.",43,who is the museum of st john the baptist museum?,the total number of seats in the parliament are allocated to parties proportionally to the number of votes received in the second vote of the ballot using the d'hondt method.,173,how are the total numbers of seats allocated to parties?,"in addition to certification, many educational institutions especially within the us, require that prospective teachers pass a background check and psychiatric evaluation to be able to teach in classroom.",172,in what country is a background check required?,they were licensed by st. george's church in 1784.,186,richard allen and absalom jones were licensed by what church?,"an online petition of over 5,100 names on the parliamentary website led to chris smith asking parliament about the future of the collection.",136,approximately how many names were signed on an online petition on the parliamentary website in response to the closing of the musical instruments gallery?,"however, the university chose to withdraw from the conference in 1946 after university president robert maynard hutchins de-emphasized varsity athletics in 1939 and dropped football.",22,when did washington university withdraw from the conference?
"the ""west side"" of fresno, also often called ""southwest fresno"", is one of the oldest neighborhoods in the city.",20,what is another name for west tuscon?,"this shift has already commenced in some countries; for instance, pharmacists in australia receive remuneration from the australian government for conducting comprehensive home medicines reviews.",51,in what country has the shift shift been done?,"the dornbirner ach had to be diverted, too, and it now flows parallel to the canalized rhine into the lake.",7,where did the dornbirner ag originate?,"in 2006, unicef estimated that up to 30% of girls in the coastal areas of malindi, mombasa, kilifi, and diani were subject to prostitution.",124,what percent of girls are in prostution in kenyas coastal areas?,"steam engines can be said to have been the moving force behind the industrial revolution and saw widespread commercial use driving machinery in factories, mills and mines; powering pumping stations; and propelling transport appliances such as railway locomotives, ships, steamboats and road vehicles.",53,what type of engine is used in industrial applications?,"on the evening of the same day, the couple was married by bugenhagen.",37,who married bugenhagen?,"following the treaty, king george iii issued the royal proclamation of 1763 on october 7, 1763, which outlined the division and administration of the newly conquered territory, and to some extent continues to govern relations between the government of modern canada and the first nations.",197,who issued the royal proclamation of 1763?,a similar method is the electrocatalytic o2 evolution from oxides and oxoacids.,38,what is the name of the simple method that is a similar method of a simple method?,"goldenson also cited interest in japan in the early 1950s, acquiring a 5% stake in two new domestic networks, the mainichi broadcasting system in 1951 and nihon educational television in 1957.",32,in what year did the nihon broadcasts in japan?,"the super bowl 50 halftime show was headlined by the british rock group coldplay with special guest performers beyonce and bruno mars, who headlined the super bowl xlvii and super bowl xlviii halftime shows, respectively.",4,what is the name of the feature that featured the super bowl?
"however, the university chose to withdraw from the conference in 1946 after university president robert maynard hutchins de-emphasized varsity athletics in 1939 and dropped football.",122,why did the university eventually leave the conference?,"the super bowl 50 halftime show was headlined by the british rock group coldplay with special guest performers beyonce and bruno mars, who headlined the super bowl xlvii and super bowl xlviii halftime shows, respectively.",104,what two artists came out with coldplay during the half-time show?,"many types of turing machines are used to define complexity classes, such as deterministic turing machines, probabilistic turing machines, non-deterministic turing machines, quantum turing machines, symmetric turing machines and alternating turing machines.",128,"in the determination of complexity classes, what are two examples of types of turing machines?","he tried to put these ideas to practical use in an ill-fated attempt at intercontinental wireless transmission, his unfinished wardenclyffe tower project.",5,what project did bell try to create?,"i would be doing a service if i killed my father when he is hunting, made an alliance with sultan muhammad, brought this land to life and gave assistance and support to the muslims.""",188,who did jochi reportedly enlist to help him stop his father's massacres?,"the design, development and construction of the center was conducted by kurt h. debus, a member of dr. wernher von braun's original v-2 rocket engineering team.",150,who conducted the construction of the new center?,"the biodiversity of plant species is the highest on earth with one 2001 study finding a quarter square kilometer (62 acres) of ecuadorian rainforest supports more than 1,100 tree species.",176,how many tree species are in the rainforest?,"in 2006, unicef estimated that up to 30% of girls in the coastal areas of malindi, mombasa, kilifi, and diani were subject to prostitution.",24,how much of the european population were subject to policing?,"each step had to be successfully accomplished before the next ones could be performed, and it was unknown how many tries of each mission would be necessary; therefore letters were used instead of numbers.",40,what was the first step to be used?,"on june 4, 2014, the nfl announced that the practice of branding super bowl games with roman numerals, a practice established at super bowl v, would be temporarily suspended, and that the game would be named using arabic numerals as super bowl 50 as opposed to super bowl l.",101,"if roman numerals were used in the naming of the 50th super bowl, which one would have been used?"
"in bays where they occur in very high numbers, predation by ctenophores may control the populations of small zooplanktonic organisms such as copepods, which might otherwise wipe out the phytoplankton (planktonic plants), which are a vital part of marine food chains.",195,what are phytoplankton?,"a function problem is a computational problem where a single output (of a total function) is expected for every input, but the output is more complex than that of a decision problem, that is, it is n't just yes or no.",18,what is a dbms problem?,some customers consider this to be more convenient and private method rather than traveling to a community drugstore where another customer might overhear about the drugs that they take.,10,what do some companies consider that they want to do?,"on june 4, 2014, the nfl announced that the practice of branding super bowl games with roman numerals, a practice established at super bowl v, would be temporarily suspended, and that the game would be named using arabic numerals as super bowl 50 as opposed to super bowl l.",1,what was the name of the practice that allowed the use of fan bowl games?,"when two forces act on a point particle, the resulting force, the resultant (also called the net force), can be determined by following the parallelogram rule of vector addition: the addition of two vectors represented by sides of a parallelogram, gives an equivalent resultant vector that is equal in magnitude and direction to the transversal of the parallelogram.",200,what is the resultant force called when two forces act on a particle?,"the design, development and construction of the center was conducted by kurt h. debus, a member of dr. wernher von braun's original v-2 rocket engineering team.",50,who was the director of the center?,"warsaw university of technology is the second academic school of technology in the country, and one of the largest in east-central europe, employing 2,000 professors.",19,what is the second academic school of technology in the country?,"according to this theory, those who already hold wealth have the means to invest in new sources of creating wealth or to otherwise leverage the accumulation of wealth, thus are the beneficiaries of the new wealth.",49,"according to the theory of the theory, who is the beneficiaries of the new wealth?","kublai originally named his eldest son, zhenjin, as the crown prince, but he died before kublai in 1285.",56,who was the youngest son of the crown prince?,this early part of luther's career was one of his most creative and productive.,112,what part of luther's career was one of his most productive?
"the plan was, at least provisionally approved by then superintendent of new york city schools, william h. maxwell.",52,who was the commissioner of new york city schools?,sky uk limited (formerly british sky broadcasting or bskyb) is a british telecommunications company which serves the united kingdom.,30,what is the name of the british telecommunications company that serves the uk?,"this decreed that it would be occupied by the allies, until 1935 and after that, it would be a demilitarised zone, with the german army forbidden to enter.",15,what did the allies call the german army to do?,"packet switching contrasts with another principal networking paradigm, circuit switching, a method which pre-allocates dedicated network bandwidth specifically for each communication session, each having a constant bit rate and latency between nodes.",31,what is a method that provides a connection to each communication session?,"packet switching contrasts with another principal networking paradigm, circuit switching, a method which pre-allocates dedicated network bandwidth specifically for each communication session, each having a constant bit rate and latency between nodes.",131,how is circuit switching allocated,leonard goldenson said that abc's first international activity was broadcasting the coronation of queen elizabeth ii in june 1953; cbs and nbc were unable to cover the coronation live due to respective issues with technical problems and flight delays.,90,who was the first queen of the queen elizabeth ii?,"on an international level, the price increases changed competitive positions in many industries, such as automobiles.",74,what did the price change on an international level?,"according to this theory, those who already hold wealth have the means to invest in new sources of creating wealth or to otherwise leverage the accumulation of wealth, thus are the beneficiaries of the new wealth.",149,"according to the wealth concentration theory, what advantage do the wealthy have in accumulating new wealth?","the crew of apollo 8 sent the first live televised pictures of the earth and the moon back to earth, and read from the creation story in the book of genesis, on christmas eve, 1968.",142,what crew sent the first ever live images of the earth and moon to earth?,"t-cells have a symbiotic relationship with vitamin d. not only does the t-cell extend a vitamin d receptor, in essence asking to bind to the steroid hormone version of vitamin d, calcitriol, but the t-cell expresses the gene cyp27b1, which is the gene responsible for converting the pre-hormone version of vitamin d, calcidiol into the steroid hormone version, calcitriol.",83,what does the t-cell do?
"warsaw university of technology is the second academic school of technology in the country, and one of the largest in east-central europe, employing 2,000 professors.",119,how many professors does the warsaw university of technology employ?,"albert einstein extended the principle of inertia further when he explained that reference frames subject to constant acceleration, such as those free-falling toward a gravitating object, were physically equivalent to inertial reference frames.",94,who expanded the principle of entropy?,"following a break for late local programming, cbs also aired a special episode of the late late show with james corden.",69,who played a special episode of the late 1970s?,philo incorrectly surmised that parts of the air in the vessel were converted into the classical element fire and thus were able to escape through pores in the glass.,189,what did philo incorrectly assume that the air became?,"some of the income was dispensed in the form of aid to other underdeveloped nations whose economies had been caught between higher oil prices and lower prices for their own export commodities, amid shrinking western demand.",77,what did some of the income in the form of aid prevent?,the warsaw stock exchange is one of the largest and most important in central and eastern europe.,167,what exchange in warsaw is one of the most important for central and eastern europe?,this would be the final year in a multi-year contract with anheuser-busch inbev that allowed the beer manufacturer to air multiple advertisements during the game at a steep discount.,163,which company has been able to air multiple ads at a steep discount?,the arrival of satellite television ended the need for abc to hold interests in other countries; many governments also wanted to increase their independence and strengthen legislation to limit foreign ownership of broadcasting properties.,25,what did the initial satellite broadcast for abc to limit?,"however, mughal emperors directly patronized the legacies of genghis khan and timur; together their names were synonymous with the names of other distinguished personalities particularly among the muslim populations of south asia.",178,which mongol conqueror was most celebrated by the mughal emperors?,proportionality is recognised one of the general principles of european union law by the european court of justice since the 1950s.,159,how long has proportionality been recognized as one of the general principles of eu law?
"woods retained his position as president and ceo of abc until december 1949, and was subsequently promoted to vice-chairman of the board before leaving abc altogether on june 30, 1951.",114,what position did mark woods take on at the new american broadcasting company?,"in 1854 at ballarat there was an armed rebellion against the government of victoria by miners protesting against mining taxes (the ""eureka stockade"").",75,what was the eureka rebellion against?,"however, most of hearst television's 16 abc-affiliated stations transmit the network's programming in 1080i hd, while 11 other affiliates owned by various companies carry the network feed in 480i standard definition either due to technical considerations for affiliates of other major networks that carry abc programming on a digital subchannel or because a primary feed abc affiliate has not yet upgraded their transmission equipment to allow content to be presented in hd.",134,what format do hearst television's abc affiliates transmit in?,"he was supposedly killed with poison by el temur, and tugh temur then remounted the throne.",39,who did el temur die?,he had to work at various electrical repair jobs and even as a ditch digger for $2 per day.,102,what did tesla do for a job that paid two dollars a day?,"while chinese primary schools were allowed to retain chinese as the medium of instruction, chinese secondary schools are required to change into english-medium schools.",196,what language is used in chinese primary schools in malaysia?,"as sea-level continued to rise in the netherlands, the formation of the holocene rhine-meuse delta began (~ 8,000 years ago).",121,what country did the rhine continue to rise during the holocene?,tesla gained experience in telephony and electrical engineering before emigrating to the united states in 1884 to work for thomas edison in new york city.,62,in what year did ray edison gain time in the u.s.?,"seasonal rainfall is concentrated in the warmest months from may through september, while the driest months are from november through april.",179,when does rain typically fall in jacksonville?,"following the treaty, king george iii issued the royal proclamation of 1763 on october 7, 1763, which outlined the division and administration of the newly conquered territory, and to some extent continues to govern relations between the government of modern canada and the first nations.",97,when was the royal proclamation issued?
"while chinese primary schools were allowed to retain chinese as the medium of instruction, chinese secondary schools are required to change into english-medium schools.",96,what were chinese primary schools required to retain?,"seasonal rainfall is concentrated in the warmest months from may through september, while the driest months are from november through april.",79,when are tucson 's warmest months?,"each step had to be successfully accomplished before the next ones could be performed, and it was unknown how many tries of each mission would be necessary; therefore letters were used instead of numbers.",140,"since nasa didn't know how many attempts each test would end up requiring, what did they use instead of numbers for the trials?","tesla's father, in a moment of despair, promised to send him to the best engineering school if he recovered from the illness (his father had originally wanted him to enter the priesthood).",91,what was the name of tesla 's father?,"luther 's 1541 hymn ""christ unser herr zum jordan kam"" (""to jordan came the christ our lord"") reflects the structure and substance of his questions and answers concerning baptism in the small catechism.",154,what does luther's hymn christ unser herr zum jordan kam concern?,"oxfam's claims have however been questioned on the basis of the methodology used: by using net wealth (adding up assets and subtracting debts), the oxfam report, for instance, finds that there are more poor people in the united states and western europe than in china (due to a greater tendency to take on debts).",148,what has caused oxfam's findings to be questioned?,in 2011 the board of pharmaceutical specialties approved ambulatory care pharmacy practice as a separate board certification.,41,in what year was the board of pharmaceutical specialties approved?,in 2011 the board of pharmaceutical specialties approved ambulatory care pharmacy practice as a separate board certification.,141,when was ambulatory care pharmacy approved as its own certification?,"each year, enr compiles and reports on data about the size of design and construction companies.",109,what compiles and reports on data about the size of design and construction companies?,"in may 2000, the parliament was temporarily relocated to the former strathclyde regional council debating chamber in glasgow, and to the university of aberdeen in may 2002.",3,in what year was the parliament relocated to the former?
the number of chloroplasts per cell varies from 1 in algae up to 100 in plants like arabidopsis and wheat.,45,what is the number of chloroplasts per cell?,"in 1854 at ballarat there was an armed rebellion against the government of victoria by miners protesting against mining taxes (the ""eureka stockade"").",175,when was there a armed protest at ballarat about mining taxes?,"he tried to put these ideas to practical use in an ill-fated attempt at intercontinental wireless transmission, his unfinished wardenclyffe tower project.",105,where was his unfinished project called?,"japanese imports, primarily the toyota corona, the toyota corolla, the datsun b210, the datsun 510, the honda civic, the mitsubishi galant (a captive import from chrysler sold as the dodge colt), the subaru dl, and later the honda accord all had four cylinder engines that were more fuel efficient than the typical american v8 and six cylinder engines.",64,what was the name of the ship that was bought by chrysler?,"in the more spiritual or mystical islamic tradition of sufism, the position of spiritual teacher and an esoteric (as opposed to exoteric, or actions-oriented, e.g. the five pillars of islam) spirituality and spiritual knowledge takes on a more important dimension, with emphasis on learning from living saints - the highest of which is a qutb - and of traditions passed down from initiate to initiate, and traceable back to the founder of the order.",126,what is the name of the mystical type of islam?,"gaining support from princes and officers in northern china and some other parts of the dynasty, khanbaliq-based tugh temur eventually won the civil war against ragibagh known as the war of the two capitals.",146,what was the civil war against ragibagh also called?,"materials readily available in the area generally dictate the construction materials used (e.g. brick versus stone, versus timber).",11,what type of construction is used in the area?,this would be the final year in a multi-year contract with anheuser-busch inbev that allowed the beer manufacturer to air multiple advertisements during the game at a steep discount.,63,what was the name of the contract that allowed the beer manufacturer to air multiple advertisements during the game?,"the south florida/miami area has previously hosted the event 10 times (tied for most with new orleans), with the most recent one being super bowl xliv in 2010.",158,what city is tied with miami for hosting the super bowl?,the warsaw stock exchange is one of the largest and most important in central and eastern europe.,67,what is one of the most important in central and eastern europe?
"materials readily available in the area generally dictate the construction materials used (e.g. brick versus stone, versus timber).",111,what generally dictates the construction materials used?,"his work in the formative years of electric power development was involved in a corporate alternating current/direct current ""war of currents"" as well as various patent battles.",65,what was the name of the war that led to electric power development?,"the biodiversity of plant species is the highest on earth with one 2001 study finding a quarter square kilometer (62 acres) of ecuadorian rainforest supports more than 1,100 tree species.",82,how many tree species does the biodiversity of plant species support?,sky uk limited (formerly british sky broadcasting or bskyb) is a british telecommunications company which serves the united kingdom.,130,what kind of company is sky uk limited?,"the war was fought between the colonies of british america and new france, with both sides supported by military units from their parent countries of great britain and france, as well as native american allies.",57,what did the war between britain and france support?,this is not a valid comparison -- the inner mitochondria membrane is used to run proton pumps and carry out oxidative phosphorylation across to generate atp energy.,129,what does oxidative phosphorylation do?,"the panthers then blew out the arizona cardinals in the nfc championship game, 49 -- 15, racking up 487 yards and forcing seven turnovers.",27,how many yards did the tampa cardinals lose in the nfc champions game?,leonard goldenson said that abc's first international activity was broadcasting the coronation of queen elizabeth ii in june 1953; cbs and nbc were unable to cover the coronation live due to respective issues with technical problems and flight delays.,190,why was cbs unable to broadcast the coronation of queen elizabeth ii?,"barred by the government from settling in new france, huguenots led by jesse de forest, sailed to north america in 1624 and settled instead in the dutch colony of new netherland (later incorporated into new york and new jersey); as well as great britain 's colonies, including nova scotia.",99,in what year did the government arrive to north america?,"as indigenous territories continue to be destroyed by deforestation and ecocide, such as in the peruvian amazon indigenous peoples' rainforest communities continue to disappear, while others, like the urarina continue to struggle to fight for their cultural survival and the fate of their forested territories.",185,what kind of territories are being destroyed by ecocide in the amazon?
